tconst	ordering	nconst	category	job	characters	img_url_asset
tt0000929	1	nm0066941	actor	\N	\N	\N
tt0000929	2	nm0170183	actor	\N	\N	\N
tt0000929	3	nm0092290	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/4LeEAQ539JgoRcqX4Er0fGOwoZg.jpg
tt0000929	4	nm0093361	director	\N	\N	\N
tt0000929	5	nm1902148	producer	producer	\N	\N
tt0000929	6	nm0667386	cinematographer	\N	\N	\N
tt0000977	1	nm0092290	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/4LeEAQ539JgoRcqX4Er0fGOwoZg.jpg
tt0000977	2	nm1902148	producer	producer	\N	\N
tt0000977	3	nm0667386	cinematographer	\N	\N	\N
tt0015414	1	nm0147437	self	\N	"[""Self""]"	\N
tt0015414	2	nm0615736	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/kHiLG0lyy5WqqxsLgYPAi61R37p.jpg
tt0015724	10	nm1457911	editor	\N	\N	\N
tt0015724	1	nm0844752	actor	\N	"[""Bruno""]"	https://image.tmdb.org/t/p/{width_variable}/m9KfJxxrOdIBqPDOhSvw6GPA1Uy.jpg
tt0015724	2	nm0869732	actress	\N	"[""Sofía""]"	https://image.tmdb.org/t/p/{width_variable}/2dZRblt3alR4ihcBNasYDI1gwc0.jpg
tt0015724	3	nm0194720	actor	\N	"[""Rolando Matute""]"	https://image.tmdb.org/t/p/{width_variable}/bs5zAkh01XU6hY4bYucgDXYisIg.jpg
tt0015724	4	nm0650495	actress	\N	"[""Salomé""]"	https://image.tmdb.org/t/p/{width_variable}/fyTgy9TKCxJetrNVGBIQ5gCIDsV.jpg
tt0015724	5	nm0529960	director	\N	\N	\N
tt0015724	6	nm1597742	writer	novel	\N	\N
tt0015724	7	nm0600039	producer	producer	\N	\N
tt0015724	8	nm0255550	composer	\N	\N	\N
tt0015724	9	nm0006509	cinematographer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/5h2U70z7OS5Rb2PdrPpjo35eWCl.jpg
tt0034841	1	nm0572235	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/rD180RxxIcxdCZbI2X5sfSb4lT.jpg
tt0038086	10	nm0279072	actor	\N	"[""Kriminalassistent Egge""]"	https://image.tmdb.org/t/p/{width_variable}/tWA1aLPdB5UpovFAyv9lnxpuvid.jpg
tt0038086	1	nm0002161	actor	\N	"[""Kriminalrat Dietrich Dongen""]"	https://image.tmdb.org/t/p/{width_variable}/x1s3RdddpAfjNXVhYJqjAskklUV.jpg
tt0038086	2	nm0081499	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/lK3MxrK9LUHxPGvXwcejatLmRPb.jpg
tt0038086	3	nm0220471	actor	\N	\N	\N
tt0038086	4	nm0243017	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/49Rl5z4OHIK8SF639np4agXzsrA.jpg
tt0038086	5	nm0826094	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/xvP4DLKf3DE4on6tA63iNdeRt47.jpg
tt0038086	6	nm0076617	writer	novel	\N	\N
tt0038086	7	nm0006057	composer	\N	\N	\N
tt0038086	8	nm0389155	cinematographer	\N	\N	\N
tt0038086	9	nm0257262	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/9MNdbTpIx8GErdLCzY0QlVnf6IX.jpg
tt0040844	1	nm0000248	actor	\N	"[""Cowboy""]"	https://image.tmdb.org/t/p/{width_variable}/mT2dlFO5i2gKpRJzB9gwuRAq21t.jpg
tt0040844	2	nm0601146	actor	\N	"[""Lem""]"	https://image.tmdb.org/t/p/{width_variable}/k35EeiZPgGzhrHeVH1rWtuhycLZ.jpg
tt0040844	3	nm0619265	actor	\N	"[""Tex""]"	\N
tt0040844	4	nm0564502	actress	\N	"[""Barbara""]"	https://image.tmdb.org/t/p/{width_variable}/wlNCRQ8odruOPyY2WKG80znHlKr.jpg
tt0040844	5	nm0298215	writer	narration	\N	https://image.tmdb.org/t/p/{width_variable}/878i8VLSExhVXc6SPRq1c7edMs4.jpg
tt0040844	6	nm0858659	producer	producer	\N	\N
tt0040844	7	nm0918840	composer	\N	\N	\N
tt0040844	8	nm0282325	cinematographer	\N	\N	\N
tt0059325	10	nm0505026	production_designer	\N	\N	\N
tt0059325	1	nm0383850	actress	\N	"[""Lisa, genannt Li""]"	\N
tt0059325	2	nm0753957	actor	\N	"[""Alfred, genannt Al""]"	https://image.tmdb.org/t/p/{width_variable}/21Cu0cELjVtkDIBRqeaw6vxAiYq.jpg
tt0059325	3	nm2535970	actor	\N	"[""Mogul""]"	\N
tt0059325	4	nm0537007	actor	\N	"[""Hans""]"	https://image.tmdb.org/t/p/{width_variable}/24ckcgfrWrVVdk1Ex32vuysdAmv.jpg
tt0059325	5	nm0127158	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/zzgq3s7shKd6zIabGIIG3s7afxq.jpg
tt0059325	6	nm0687851	writer	\N	\N	\N
tt0059325	7	nm0081598	composer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/fiWaAtuXlpBwahEWchhH0orQrBB.jpg
tt0059325	8	nm0344875	cinematographer	\N	\N	\N
tt0059325	9	nm0313205	editor	\N	\N	\N
tt0059900	10	nm0386629	production_designer	\N	\N	\N
tt0059900	1	nm1052658	actor	\N	"[""Adam""]"	\N
tt0059900	2	nm0937760	actor	\N	"[""Tember""]"	https://image.tmdb.org/t/p/{width_variable}/h2hAJ0RLJ4Xx08EaTsCuUrDwQvj.jpg
tt0059900	3	nm0472545	actor	\N	"[""Konstantin""]"	https://image.tmdb.org/t/p/{width_variable}/4qfxHPHzQhmNHXtVB6AuXIXZISf.jpg
tt0059900	4	nm0334635	actress	\N	"[""Caroline""]"	https://image.tmdb.org/t/p/{width_variable}/yUFoiSKJHVdcuWqVcjuiXz6AjvF.jpg
tt0059900	5	nm0351586	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/qol1P8EmjMQIXHrTbIeDRm3rRc7.jpg
tt0059900	6	nm0778360	writer	\N	\N	\N
tt0059900	7	nm0624150	composer	\N	\N	\N
tt0059900	8	nm0340497	cinematographer	\N	\N	\N
tt0059900	9	nm0771858	editor	\N	\N	\N
tt0065188	10	nm0098390	production_designer	\N	\N	\N
tt0065188	1	nm0286367	actor	\N	"[""Vojta""]"	https://image.tmdb.org/t/p/{width_variable}/sLcHD4HNl6bDqo2zvR4xS3UnPzX.jpg
tt0065188	2	nm0525656	actress	\N	"[""Anezka""]"	https://image.tmdb.org/t/p/{width_variable}/bjwSxzsB2VQe09t09otThYqHBOH.jpg
tt0065188	3	nm0230866	actress	\N	"[""Blazena""]"	\N
tt0065188	4	nm0953822	actor	\N	"[""Lojza""]"	https://image.tmdb.org/t/p/{width_variable}/4eXMDdzHhbipOdalzO7CGn5RNa9.jpg
tt0065188	5	nm0878702	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/rshRHHG5voW4KrojReCIF8Y17Ed.jpg
tt0065188	6	nm0434141	writer	screenplay	\N	\N
tt0065188	7	nm0815785	writer	screenplay	\N	\N
tt0065188	8	nm1413539	composer	\N	\N	\N
tt0065188	9	nm0532709	editor	\N	\N	\N
tt0067460	1	nm0091430	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/6TiG3ItMvehkprMTdIDvWZD7jZv.jpg
tt0067460	2	nm0155034	self	\N	"[""Self""]"	\N
tt0067460	3	nm0821041	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/f1MchlCMVc4LDWEALsodZHPkbIu.jpg
tt0067460	4	nm0821043	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/aHGIAA6jwGxZXFGtd5N2gVjXNcO.jpg
tt0067460	5	nm0254945	producer	producer	\N	\N
tt0067460	6	nm0475101	producer	producer	\N	\N
tt0067460	7	nm0006165	composer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/f9HjW8Y0cI3lVZ2779wOvxUuWaU.jpg
tt0067460	8	nm0005644	cinematographer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/iZonD2w5n4DVDzpWH5AzfKgHOb2.jpg
tt0067460	9	nm0949422	editor	\N	\N	\N
tt0068494	1	nm0496571	actor	\N	"[""Doug""]"	\N
tt0068494	2	nm0792032	actress	\N	"[""Tara""]"	\N
tt0068494	3	nm2866691	actor	\N	\N	\N
tt0068494	4	nm2865979	actor	\N	\N	\N
tt0068494	5	nm0643443	director	\N	\N	\N
tt0068494	6	nm2784719	composer	\N	\N	\N
tt0068494	7	nm0676286	cinematographer	\N	\N	\N
tt0068494	8	nm2867782	editor	\N	\N	\N
tt0070501	1	nm0487508	actress	\N	"[""María""]"	\N
tt0070501	2	nm3012589	actor	\N	"[""Juan Carlos""]"	\N
tt0070501	3	nm5672626	actress	\N	"[""Mirta""]"	\N
tt0070501	4	nm0033058	actor	\N	"[""Lodger""]"	https://image.tmdb.org/t/p/{width_variable}/8qUN7ce0f8MQr93hZeX7WaaBAgb.jpg
tt0070501	5	nm0749914	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/gsJkcICbmk1GCi3EkDkxE6qZcpe.jpg
tt0070501	6	nm0481040	writer	novel	\N	\N
tt0070501	7	nm1097480	composer	\N	\N	\N
